SignType,Message,FullMessage
IA.1,RO WATER,RO WATER
IA.1,ROBOTIC EDUCATION CLASSROOM,ROBOTIC EDUCATION CLASSROOM
IA.1,SCOPE CLEAN/STORAGE,SCOPE CLEAN/STORAGE
IA.1,SECURE STORAGE,SECURE STORAGE
IA.1,SECURITY,SECURITY
IA.1,SERENITY ROOM,SERENITY ROOM
IA.1,SERVICE COORDINATOR,SERVICE COORDINATOR
IA.1,SHARED SERVICES,SHARED SERVICES
IA.1,SHOWER ROOM,SHOWER ROOM
IA.1,SLEEP LAB 1,SLEEP LABORATORY 1
IA.1,SLEEP LAB 2,SLEEP LABORATORY 2
IA.1,SLEEP ROOM,SLEEP ROOM
IA.1,SOCIAL SERVICES,SOCIAL SERVICES
IA.1,SOCIAL WORKER,SOCIAL WORKER
IA.1,SPECIAL PROCEDURES ROOM,SPECIAL PROCEDURES ROOM
IA.1,SPECIAL TREATMENT ROOM 1,SPECIAL TREATMENT ROOM 1
IA.1,SPECIAL TREATMENT ROOM 2,SPECIAL TREATMENT ROOM 2
IA.1,SPEECH PATHOLOGIST,SPEECH PATHOLOGIST
IA.1,SPEECH THERAPY 1,SPEECH THERAPY 1
IA.1,SPEECH THERAPY 2,SPEECH THERAPY 2
IA.1,SPEECH THERAPY 3,SPEECH THERAPY 3
IA.1,STAFF BREAKROOM,STAFF BREAKROOM
IA.1,STAFF DEVELOPMENT,STAFF DEVELOPMENT
IA.1,STAFF ELEV LOBBY,STAFF ELEVATOR LOBBY
IA.1,STAFF LOUNGE,STAFF LOUNGE
IA.1,STAFF LOUNGE EMPLOYEES ONLY,STAFF LOUNGE EMPLOYEES ONLY
IA.1,STAFF ONLY,STAFF ONLY
IA.1,STAFF VENDING,STAFF VENDING
IA.1,STAFF WORK RM,STAFF WORK ROOM
IA.1,STAIRS EXIT ONLY NO RE-ENTRY,STAIRS EXIT ONLY NO RE-ENTRY
IA.1,STEM CELL LAB,STEM CELL LAB
IA.1,STERILE CORE,STERILE CORE
IA.1,STERILE STORAGE,STERILE STORAGE
IA.1,STERILIZED STORAGE,STERILIZED STORAGE
IA.1,STORAGE,STORAGE
IA.1,STORAGE / CLEEN WHEELCHAIR ROOM,STORAGE / CLEEN WHEELCHAIR ROOM
IA.1,STRESS,STRESS
IA.1,SU,SU
IA.1,SUB WAIT,SUB WAIT
IA.1,SUB WAITING,SUB WAITING
IA.1,SUB-STERILE AREA,SUB-STERILE AREA
IA.1,SUPPLIES,SUPPLIES
IA.1,SUPPLY ROOM,SUPPLY ROOM
IA.1,SUPPLY ROOM 2,SUPPLY ROOM 2
IA.1,SURGERY,SURGERY
IA.1,SURGERY CENTER LOBBY,SURGERY CENTER LOBBY
IA.1,SURGERY LOUNGE,SURGERY LOUNGE
IA.1,SURGERY WAITING ROOM,SURGERY WAITING ROOM
IA.1,SURGICAL SERVICES,SURGICAL SERVICES
IA.1,TBD,TBD
IA.1,TELEPHONE,TELEPHONE
IA.1,TELEPHONE EQUIPMENT ROOM,TELEPHONE EQUIPMENT ROOM
IA.1,THE FOUNDERS ROOM,THE FOUNDERS ROOM
IA.1,THERAPY ROOM,THERAPY ROOM
IA.1,TO MAIN ER & REGISTRATION,TO MAIN ER & REGISTRATION
IA.1,TRASH COLLECTION,TRASH COLLECTION
IA.1,TRASH HOLD,TRASH HOLD
IA.1,TRAUMA,TRAUMA
IA.1,TRAUMA SERVICES,TRAUMA SERVICES
IA.1,TRAY ASSEMBLY,TRAY ASSEMBLY
IA.1,TREATMENT ROOM,TREATMENT ROOM
IA.1,TRIAGE,TRIAGE
IA.1,TUB ROOM,TUB ROOM
IA.1,TUB/SHOWER ROOM,TUB/SHOWER ROOM
IA.1,ULTRASOUND,ULTRASOUND
IA.1,ULTRASOUND 3,ULTRASOUND 3
IA.1,UPS,UPS
IA.1,UPS ROOM,UPS ROOM
IA.1,UTILITY,UTILITY
IA.1,UTILITY ROOM,UTILITY ROOM
IA.1,VENDOR DROP-OFF,VENDOR DROP-OFF
IA.1,VESTIBULE,VESTIBULE
IA.1,VICE PRESIDENT HUMAN RESOURCES,VICE PRESIDENT HUMAN RESOURCES
IA.1,VISITOR ELEV LOBBY,VISITOR ELEV LOBBY
IA.1,VOLUNTEER WORK ROOM,VOLUNTEER WORK ROOM
IA.1,VP OF NURSING INITIATIVES & REGULATORY COMPLIANCE,VP OF NURSING INITIATIVES & REGULATORY COMPLIANCE
IA.1,VP OF QUALITY,VP OF QUALITY
IA.1,WAITING,WAITING
IA.1,WAITING ROOM,WAITING ROOM
IA.1,WALK-IN COOLER,WALK-IN COOLER
IA.1,WARE WASH,WARE WASH
IA.1,WAREHOUSE,WAREHOUSE
IA.1,WC STORAGE,WC STORAGE
IA.1,WOMEN LOCKER,WOMEN LOCKER
IA.1,WOMEN SURGERY STAFF,WOMEN SURGERY STAFF
IA.1,WOMENS LOCKER,WOMENS LOCKER
IA.1,WORK,WORK
IA.1,WORK AREA,WORK AREA
IA.1,WORK ROOM,WORK ROOM
IA.1,WORK ROOM 1,WORK ROOM 1
IA.2,ISOL PAT RM,ISOLATION PATIENT ROOM
IA.2,ACC PAT RM,ACC PATIENT ROOM
IA.2,ACC PAT RM 1,ACC PATIENT ROOM 1
IA.2,ACC PAT RM 10,ACC PATIENT ROOM 10
IA.2,ACC PAT RM 11,ACC PATIENT ROOM 11
IA.2,ACC PAT RM 12,ACC PATIENT ROOM 12
IA.2,ACC PAT RM 13,ACC PATIENT ROOM 13
IA.2,ACC PAT RM 14,ACC PATIENT ROOM 14
IA.2,ACC PAT RM 15,ACC PATIENT ROOM 15
IA.2,ACC PAT RM 16,ACC PATIENT ROOM 16
IA.2,ACC PAT RM 17,ACC PATIENT ROOM 17
IA.2,ACC PAT RM 18,ACC PATIENT ROOM 18
IA.2,ACC PAT RM 19,ACC PATIENT ROOM 19
IA.2,ACC PAT RM 2,ACC PATIENT ROOM 2
IA.2,ACC PAT RM 20,ACC PATIENT ROOM 20
IA.2,ACC PAT RM 21,ACC PATIENT ROOM 21
IA.2,ACC PAT RM 22,ACC PATIENT ROOM 22
IA.2,ACC PAT RM 23,ACC PATIENT ROOM 23
IA.2,ACC PAT RM 24,ACC PATIENT ROOM 24
IA.2,ACC PAT RM 25,ACC PATIENT ROOM 25
IA.2,ACC PAT RM 26,ACC PATIENT ROOM 26
IA.2,ACC PAT RM 27,ACC PATIENT ROOM 27
IA.2,ACC PAT RM 28,ACC PATIENT ROOM 28
IA.2,ACC PAT RM 29,ACC PATIENT ROOM 29
IA.2,ACC PAT RM 3,ACC PATIENT ROOM 3
IA.2,ACC PAT RM 30,ACC PATIENT ROOM 30
IA.2,ACC PAT RM 31,ACC PATIENT ROOM 31
IA.2,ACC PAT RM 32,ACC PATIENT ROOM 32
IA.2,ACC PAT RM 33,ACC PATIENT ROOM 33
IA.2,ACC PAT RM 34,ACC PATIENT ROOM 34
IA.2,ACC PAT RM 35,ACC PATIENT ROOM 35
IA.2,ACC PAT RM 36,ACC PATIENT ROOM 36
IA.2,ACC PAT RM 37,ACC PATIENT ROOM 37
IA.2,ACC PAT RM 38,ACC PATIENT ROOM 38
IA.2,ACC PAT RM 39,ACC PATIENT ROOM 39
IA.2,ACC PAT RM 4,ACC PATIENT ROOM 4
IA.2,ACC PAT RM 40,ACC PATIENT ROOM 40
IA.2,ACC PAT RM 41,ACC PATIENT ROOM 41
IA.2,ACC PAT RM 42,ACC PATIENT ROOM 42
IA.2,ACC PAT RM 43,ACC PATIENT ROOM 43
IA.2,ACC PAT RM 44,ACC PATIENT ROOM 44
IA.2,ACC PAT RM 45,ACC PATIENT ROOM 45
IA.2,ACC PAT RM 46,ACC PATIENT ROOM 46
IA.2,ACC PAT RM 47,ACC PATIENT ROOM 47
IA.2,ACC PAT RM 48,ACC PATIENT ROOM 48
IA.2,ACC PAT RM 49,ACC PATIENT ROOM 49
IA.2,ACC PAT RM 5,ACC PATIENT ROOM 5
IA.2,ACC PAT RM 50,ACC PATIENT ROOM 50
IA.2,ACC PAT RM 6,ACC PATIENT ROOM 6
IA.2,ACC PAT RM 7,ACC PATIENT ROOM 7
IA.2,ACC PAT RM 8,ACC PATIENT ROOM 8
IA.2,ACC PAT RM 9,ACC PATIENT ROOM 9
IA.2,CAT SCAN ROOM 1,CAT SCAN ROOM 1
IA.2,CAT SCAN ROOM 2,CAT SCAN ROOM 2
IA.2,CATH LAB 4,CATH LABORATORY 4
IA.2,CATH LAB 5,CATH LABORATORY 5
IA.2,CONSULT 4,CONSULT 4
IA.2,CONSULT 5,CONSULT 5
IA.2,CONSULTATION 1,CONSULTATION 1
IA.2,CONSULTATION 2,CONSULTATION 2
IA.2,CONSULTATION 3,CONSULTATION 3
IA.2,ENDO 1,ENDO 1
IA.2,ENDO 2,ENDO 2
IA.2,ENDO 3,ENDO 3
IA.2,ENDO 4,ENDO 4
IA.2,ENDO 5,ENDO 5
IA.2,ENDO 6,ENDO 6
IA.2,EP / CATH LAB 1,EP / CATH LABORATORY 1
IA.2,EP / CATH LAB 2,EP / CATH LABORATORY 2
IA.2,EXAM 1,EXAM 1
IA.2,EXAM 10,EXAM 10
IA.2,EXAM 11,EXAM 11
IA.2,EXAM 12,EXAM 12
IA.2,EXAM 13,EXAM 13
IA.2,EXAM 14,EXAM 14
IA.2,EXAM 16,EXAM 16
IA.2,EXAM 17,EXAM 17
IA.2,EXAM 18,EXAM 18
IA.2,EXAM 19,EXAM 19
IA.2,EXAM 2,EXAM 2
IA.2,EXAM 20,EXAM 20
IA.2,EXAM 21,EXAM 21
IA.2,EXAM 22,EXAM 22
IA.2,EXAM 23,EXAM 23
IA.2,EXAM 24,EXAM 24
IA.2,EXAM 25,EXAM 25
IA.2,EXAM 26,EXAM 26
IA.2,EXAM 27,EXAM 27
IA.2,EXAM 28,EXAM 28
IA.2,EXAM 29,EXAM 29
IA.2,EXAM 3,EXAM 3
IA.2,EXAM 30,EXAM 30
IA.2,EXAM 4,EXAM 4
IA.2,EXAM 5,EXAM 5
IA.2,EXAM 6,EXAM 6
IA.2,EXAM 7,EXAM 7
IA.2,EXAM 8,EXAM 8
IA.2,EXAM 9,EXAM 9
IA.2,EXAM ROOM 1,EXAM ROOM 1
IA.2,EXAM ROOM 10,EXAM ROOM 10
IA.2,EXAM ROOM 11,EXAM ROOM 11
IA.2,EXAM ROOM 12,EXAM ROOM 12
IA.2,EXAM ROOM 13,EXAM ROOM 13
IA.2,EXAM ROOM 14,EXAM ROOM 14
IA.2,EXAM ROOM 15,EXAM ROOM 15
IA.2,EXAM ROOM 16,EXAM ROOM 16
IA.2,EXAM ROOM 17,EXAM ROOM 17
IA.2,EXAM ROOM 18,EXAM ROOM 18
IA.2,EXAM ROOM 19,EXAM ROOM 19
IA.2,EXAM ROOM 2,EXAM ROOM 2
IA.2,EXAM ROOM 20,EXAM ROOM 20
IA.2,EXAM ROOM 21,EXAM ROOM 21
IA.2,EXAM ROOM 22,EXAM ROOM 22
IA.2,EXAM ROOM 23,EXAM ROOM 23
IA.2,EXAM ROOM 24,EXAM ROOM 24
IA.2,EXAM ROOM 25,EXAM ROOM 25
IA.2,EXAM ROOM 26,EXAM ROOM 26
IA.2,EXAM ROOM 3,EXAM ROOM 3
IA.2,EXAM ROOM 4,EXAM ROOM 4
IA.2,EXAM ROOM 5,EXAM ROOM 5
IA.2,EXAM ROOM 6,EXAM ROOM 6
IA.2,EXAM ROOM 7,EXAM ROOM 7
IA.2,EXAM ROOM 8,EXAM ROOM 8
IA.2,EXAM ROOM 9,EXAM ROOM 9
IA.2,GENERAL OR 1,GENERAL OR 1
IA.2,INFUSION,INFUSION
IA.2,INFUSION 1,INFUSION 1
IA.2,INFUSION 10,INFUSION 10
IA.2,INFUSION 11,INFUSION 11
IA.2,INFUSION 12,INFUSION 12
IA.2,INFUSION 13,INFUSION 13
IA.2,INFUSION 14,INFUSION 14
IA.2,INFUSION 15,INFUSION 15
IA.2,INFUSION 16,INFUSION 16
IA.2,INFUSION 17,INFUSION 17
IA.2,INFUSION 18,INFUSION 18
IA.2,INFUSION 19,INFUSION 19
IA.2,INFUSION 2,INFUSION 2
IA.2,INFUSION 20,INFUSION 20
IA.2,INFUSION 3,INFUSION 3
IA.2,INFUSION 4,INFUSION 4
IA.2,INFUSION 5,INFUSION 5
IA.2,INFUSION 6,INFUSION 6
IA.2,INFUSION 7,INFUSION 7
IA.2,INFUSION 8,INFUSION 8
IA.2,INFUSION 9,INFUSION 9
IA.2,IR 1,IR 1
IA.2,IR 2,IR 2
IA.2,ISO ACC PAT RM,ISO ACC PATIENT ROOM
IA.2,ISO ACC PAT RM 1,ISO ACC PATIENT ROOM 1
IA.2,ISO ACC PAT RM 10,ISO ACC PATIENT ROOM 10
IA.2,ISO ACC PAT RM 11,ISO ACC PATIENT ROOM 11
IA.2,ISO ACC PAT RM 12,ISO ACC PATIENT ROOM 12
IA.2,ISO ACC PAT RM 13,ISO ACC PATIENT ROOM 13
IA.2,ISO ACC PAT RM 14,ISO ACC PATIENT ROOM 14
IA.2,ISO ACC PAT RM 15,ISO ACC PATIENT ROOM 15
IA.2,ISO ACC PAT RM 16,ISO ACC PATIENT ROOM 16
IA.2,ISO ACC PAT RM 17,ISO ACC PATIENT ROOM 17
IA.2,ISO ACC PAT RM 18,ISO ACC PATIENT ROOM 18
IA.2,ISO ACC PAT RM 19,ISO ACC PATIENT ROOM 19
IA.2,ISO ACC PAT RM 2,ISO ACC PATIENT ROOM 2
IA.2,ISO ACC PAT RM 20,ISO ACC PATIENT ROOM 20
IA.2,ISO ACC PAT RM 21,ISO ACC PATIENT ROOM 21
IA.2,ISO ACC PAT RM 22,ISO ACC PATIENT ROOM 22
IA.2,ISO ACC PAT RM 23,ISO ACC PATIENT ROOM 23
IA.2,ISO ACC PAT RM 24,ISO ACC PATIENT ROOM 24
IA.2,ISO ACC PAT RM 25,ISO ACC PATIENT ROOM 25
IA.2,ISO ACC PAT RM 26,ISO ACC PATIENT ROOM 26
IA.2,ISO ACC PAT RM 27,ISO ACC PATIENT ROOM 27
IA.2,ISO ACC PAT RM 28,ISO ACC PATIENT ROOM 28
IA.2,ISO ACC PAT RM 29,ISO ACC PATIENT ROOM 29
IA.2,ISO ACC PAT RM 3,ISO ACC PATIENT ROOM 3
IA.2,ISO ACC PAT RM 30,ISO ACC PATIENT ROOM 30
IA.2,ISO ACC PAT RM 31,ISO ACC PATIENT ROOM 31
IA.2,ISO ACC PAT RM 32,ISO ACC PATIENT ROOM 32
IA.2,ISO ACC PAT RM 33,ISO ACC PATIENT ROOM 33
IA.2,ISO ACC PAT RM 34,ISO ACC PATIENT ROOM 34
IA.2,ISO ACC PAT RM 35,ISO ACC PATIENT ROOM 35
IA.2,ISO ACC PAT RM 36,ISO ACC PATIENT ROOM 36
IA.2,ISO ACC PAT RM 37,ISO ACC PATIENT ROOM 37
IA.2,ISO ACC PAT RM 38,ISO ACC PATIENT ROOM 38
IA.2,ISO ACC PAT RM 39,ISO ACC PATIENT ROOM 39
IA.2,ISO ACC PAT RM 4,ISO ACC PATIENT ROOM 4
IA.2,ISO ACC PAT RM 40,ISO ACC PATIENT ROOM 40
IA.2,ISO ACC PAT RM 41,ISO ACC PATIENT ROOM 41
IA.2,ISO ACC PAT RM 42,ISO ACC PATIENT ROOM 42
IA.2,ISO ACC PAT RM 43,ISO ACC PATIENT ROOM 43
IA.2,ISO ACC PAT RM 44,ISO ACC PATIENT ROOM 44
IA.2,ISO ACC PAT RM 45,ISO ACC PATIENT ROOM 45
IA.2,ISO ACC PAT RM 46,ISO ACC PATIENT ROOM 46
IA.2,ISO ACC PAT RM 47,ISO ACC PATIENT ROOM 47
IA.2,ISO ACC PAT RM 48,ISO ACC PATIENT ROOM 48
IA.2,ISO ACC PAT RM 49,ISO ACC PATIENT ROOM 49
IA.2,ISO ACC PAT RM 5,ISO ACC PATIENT ROOM 5
IA.2,ISO ACC PAT RM 50,ISO ACC PATIENT ROOM 50
IA.2,ISO ACC PAT RM 6,ISO ACC PATIENT ROOM 6
IA.2,ISO ACC PAT RM 7,ISO ACC PATIENT ROOM 7
IA.2,ISO ACC PAT RM 8,ISO ACC PATIENT ROOM 8
IA.2,ISO ACC PAT RM 9,ISO ACC PATIENT ROOM 9
IA.2,ISOLATION EXAM 3,ISOLATION EXAM 3
IA.2,L&D OR 1,L&D OR 1
IA.2,L&D OR 2,L&D OR 2
IA.2,LDR 1,LDR 1
IA.2,LDR 2,LDR 2
IA.2,LDR 3,LDR 3
IA.2,LDR 4,LDR 4
IA.2,LDR 5,LDR 5
IA.2,LDR 6,LDR 6
IA.2,LDR 7,LDR 7
IA.2,LDR 8,LDR 8
IA.2,NEURO OR 4,NEURO OR 4
IA.2,OB 1,OB 1
IA.2,OB 10,OB 10
IA.2,OB 11,OB 11
IA.2,OB 2,OB 2
IA.2,OB 3,OB 3
IA.2,OB 4,OB 4
IA.2,OB 5,OB 5
IA.2,OB 6,OB 6
IA.2,OB 7,OB 7
IA.2,OB 8,OB 8
IA.2,OB 9,OB 9
IA.2,OB OR 1,OB OR 1
IA.2,OB OR 2,OB OR 2
IA.2,OB TRIAGE 1,OB TRIAGE 1
IA.2,OB TRIAGE 2,OB TRIAGE 2
IA.2,OBS 1,OBS 1
IA.2,OBS 10,OBS 10
IA.2,OBS 11,OBS 11
IA.2,OBS 13,OBS 13
IA.2,OBS 14,OBS 14
IA.2,OBS 15,OBS 15
IA.2,OBS 16,OBS 16
IA.2,OBS 17,OBS 17
IA.2,OBS 2,OBS 2
IA.2,OBS 3,OBS 3
IA.2,OBS 4,OBS 4
IA.2,OBS 5,OBS 5
IA.2,OBS 6,OBS 6
IA.2,OBS 7,OBS 7
IA.2,OBS 8,OBS 8
IA.2,OBS 9,OBS 9
IA.2,OR 11,OR 11
IA.2,OR 12,OR 12
IA.2,OR 14,OR 14
IA.2,OR 15,OR 15
IA.2,OR 16,OR 16
IA.2,OR 17,OR 17
IA.2,OR 4,OR 4
IA.2,OR 5,OR 5
IA.2,OR 7,OR 7
IA.2,OR 8,OR 8
IA.2,ORTHO OR 3,ORTHO OR 3
IA.2,PACU 7,PACU 7
IA.2,PAT RM,PATIENT ROOM
IA.2,PAT RM 1,PATIENT ROOM 1
IA.2,PAT RM 10,PATIENT ROOM 10
IA.2,PAT RM 11,PATIENT ROOM 11
IA.2,PAT RM 12,PATIENT ROOM 12
IA.2,PAT RM 13,PATIENT ROOM 13
IA.2,PAT RM 14,PATIENT ROOM 14
IA.2,PAT RM 15,PATIENT ROOM 15
IA.2,PAT RM 16,PATIENT ROOM 16
IA.2,PAT RM 17,PATIENT ROOM 17
IA.2,PAT RM 18,PATIENT ROOM 18
IA.2,PAT RM 19,PATIENT ROOM 19
IA.2,PAT RM 2,PATIENT ROOM 2
IA.2,PAT RM 20,PATIENT ROOM 20
IA.2,PAT RM 21,PATIENT ROOM 21
IA.2,PAT RM 22,PATIENT ROOM 22
IA.2,PAT RM 23,PATIENT ROOM 23
IA.2,PAT RM 24,PATIENT ROOM 24
IA.2,PAT RM 25,PATIENT ROOM 25
IA.2,PAT RM 26,PATIENT ROOM 26
IA.2,PAT RM 27,PATIENT ROOM 27
IA.2,PAT RM 28,PATIENT ROOM 28
IA.2,PAT RM 29,PATIENT ROOM 29
IA.2,PAT RM 3,PATIENT ROOM 3
IA.2,PAT RM 30,PATIENT ROOM 30
IA.2,PAT RM 31,PATIENT ROOM 31
IA.2,PAT RM 32,PATIENT ROOM 32
IA.2,PAT RM 33,PATIENT ROOM 33
IA.2,PAT RM 34,PATIENT ROOM 34
IA.2,PAT RM 35,PATIENT ROOM 35
IA.2,PAT RM 36,PATIENT ROOM 36
IA.2,PAT RM 37,PATIENT ROOM 37
IA.2,PAT RM 38,PATIENT ROOM 38
IA.2,PAT RM 39,PATIENT ROOM 39
IA.2,PAT RM 4,PATIENT ROOM 4
IA.2,PAT RM 40,PATIENT ROOM 40
IA.2,PAT RM 41,PATIENT ROOM 41
IA.2,PAT RM 42,PATIENT ROOM 42
IA.2,PAT RM 43,PATIENT ROOM 43
IA.2,PAT RM 44,PATIENT ROOM 44
IA.2,PAT RM 45,PATIENT ROOM 45
IA.2,PAT RM 46,PATIENT ROOM 46
IA.2,PAT RM 47,PATIENT ROOM 47
IA.2,PAT RM 48,PATIENT ROOM 48
IA.2,PAT RM 49,PATIENT ROOM 49
IA.2,PAT RM 5,PATIENT ROOM 5
IA.2,PAT RM 50,PATIENT ROOM 50
IA.2,PAT RM 6,PATIENT ROOM 6
IA.2,PAT RM 7,PATIENT ROOM 7
IA.2,PAT RM 8,PATIENT ROOM 8
IA.2,PAT RM 9,PATIENT ROOM 9
IA.2,PRE-OP  10,PRE-OP 10
IA.2,PRE-OP 1,PRE-OP 1
IA.2,PRE-OP 2,PRE-OP 2
IA.2,PRE-OP 3,PRE-OP 3
IA.2,PRE-OP 4,PRE-OP 4
IA.2,PRE-OP 5,PRE-OP 5
IA.2,PRE-OP 6,PRE-OP 6
IA.2,PRE-OP 7,PRE-OP 7
IA.2,PRE-OP 8,PRE-OP 8
IA.2,PRE-OP 9,PRE-OP 9
IA.2,PROCEDURE ROOM 1,PROCEDURE ROOM 1
IA.2,ROBOTIC OR 2,ROBOTIC OR 2
IA.2,SHELL OR 5,SHELL OR 5
IA.2,ULTRASOUND 1,ULTRASOUND 1
IA.2,ULTRASOUND ROOM 1,ULTRASOUND ROOM 1
IA.2,ULTRASOUND ROOM 2,ULTRASOUND ROOM 2
IA.2,X-RAY ROOM 1,X-RAY ROOM 1
IA.2,X-RAY ROOM 2,X-RAY ROOM 2
IA.2,X-RAY ROOM 3,X-RAY ROOM 3
IA.3,DECONTAMINATION,DECONTAMINATION
IA.3,FLAMMABLE STORAGE,FLAMMABLE STORAGE
IA.3,SOILED LINEN CHUTE,SOILED LINEN CHUTE
IA.3,SOILED LINEN HOLDING,SOILED LINEN HOLDING
IA.3,SOILED UTIL,SOILED UTILITY
IA.3,SOILED UTILITY,SOILED UTILITY
IA.3,SOILED UTILITY/ DECONTAMINATION,SOILED UTILITY/ DECONTAMINATION
IA.3,SOILED WORK,SOILED WORKROOM
IA.3,SOILED WORKROOM,SOILED WORKROOM
IA.3,TDDTTY UNIT,TDD/TTY UNIT
IA.3,TTD/TTY UNIT IS AVAILABLE PLEASE ASK FOR STAFF ASSISTANCE,TTD/TTY UNIT IS AVAILABLE PLEASE ASK FOR STAFF ASSISTANCE
IA.6,OR 1,OR 1
IA.6,OR 2,OR 2
IA.6,OR 3,OR 3
IA.6,OR 6,OR 6
IA.F,ICOF,ICOF
IA.R,MEN,MEN
IA.R,MEN LOCKERS,MENS LOCKERS
IA.R,MEN RESTROOM/SHOWER,MEN RESTROOM/SHOWER
IA.R,MEN'S LOCKER,MENS LOCKERS
IA.R,MEN'S LOCKERS,MENS LOCKERS
IA.R,MEN'S TLT,MEN
IA.R,MENS LOCKERS,MENS LOCKERS
IA.R,MENS TLT,MEN
IA.R,PUB TLT,PUBLIC TOILET
IA.R,PAT TLT,PATIENT TOILET
IA.R,STF TLT,STAFF TOILET
IA.R,PATIENT RESTROOM,PATIENT RESTROOM
IA.R,PATIENT SHOWER,PATIENT SHOWER
IA.R,R/R,RESTROOM
IA.R,RESTROOM,RESTROOM
IA.R,RR,RESTROOM
IA.R,SHWR,SHOWER
IA.R,STAFF LOCKERS,STAFF LOCKERS
IA.R,STAFF RESTROOM,STAFF RESTROOM
IA.R,STAFF TLT,STAFF RESTROOM
IA.R,TLT,RESTROOM
IA.R,UNISEX RESTROOM,UNISEX RESTROOM
IA.R,WOMEN,WOMEN
IA.R,WOMEN LOCKERS,WOMENS LOCKERS
IA.R,WOMEN RESTROOM/SHOWER,WOMEN RESTROOM SHOWER
IA.R,WOMEN'S LOCKER,WOMENS LOCKERS
IA.R,WOMEN'S LOCKERS,WOMENS LOCKERS
IA.R,WOMEN'S TLT,WOMEN
IA.R,WOMENS LOCKERS,WOMENS LOCKERS
IA.R,WOMENS TLT,WOMEN
IA.S,STAIR,STAIR
IA.S,STAIR 1,STAIR 1
IA.S,STAIR 2,STAIR 2
IA.S,STAIR 3,STAIR 3
IA.S,STAIR 4,STAIR 4
IA.S,STAIR 5,STAIR 5
IA.S,STAIR 6,STAIR 6
IA.S,STAIR 7,STAIR 7
IA.S,STAIR 8,STAIR 8
IA.S,STAIR 9,STAIR 9
IA.S,STAIR A,STAIR A
IA.S,STAIR B,STAIR B
IA.S,STAIR C,STAIR C
IA.S,STAIR D,STAIR D
IA.S,STAIR E,STAIR E
IA.S,STAIR F,STAIR F
IA.S,STAIR G,STAIR G
IA.S,STAIR H,STAIR H
IA.S,STAIRWELL,STAIRWELL
IA.S,STAIRWELL 1,STAIRWELL 1
IA.S,STAIRWELL 10,STAIRWELL 10
IA.S,STAIRWELL 11,STAIRWELL 11
IA.S,STAIRWELL 12,STAIRWELL 12
IA.S,STAIRWELL 13,STAIRWELL 13
IA.S,STAIRWELL 14,STAIRWELL 14
IA.S,STAIRWELL 19,STAIRWELL 19
IA.S,STAIRWELL 2,STAIRWELL 2
IA.S,STAIRWELL 4,STAIRWELL 4
IA.S,STAIRWELL 5,STAIRWELL 5
IA.S,STAIRWELL 6,STAIRWELL 6
IA.S,STAIRWELL 8,STAIRWELL 8
IA.S,STAIRWELL 9,STAIRWELL 9
IA.S,STR,STAIR